index;cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id;cell;inside
336;336;31,14;85,8;32,32;87,84;11;6;main;POLYGON ((87.84 31.14, 87.84 32.32, 85.8 32.32, 85.8 31.14, 87.84 31.14));True
337;337;31,14;87,84;32,32;89,88;11;7;main;POLYGON ((89.88 31.14, 89.88 32.32, 87.84 32.32, 87.84 31.14, 89.88 31.14));True
338;338;31,14;89,88;32,32;91,92;11;8;main;POLYGON ((91.92 31.14, 91.92 32.32, 89.88 32.32, 89.88 31.14, 91.92 31.14));True
339;339;31,14;91,92;32,32;93,96;11;9;main;POLYGON ((93.96 31.14, 93.96 32.32, 91.92 32.32, 91.92 31.14, 93.96 31.14));True
340;340;31,14;93,96;32,32;96,0;11;10;main;POLYGON ((96 31.14, 96 32.32, 93.96 32.32, 93.96 31.14, 96 31.14));True
341;341;31,14;96,0;32,32;98,04;11;11;main;POLYGON ((98.04 31.14, 98.04 32.32, 96 32.32, 96 31.14, 98.04 31.14));True
342;342;31,14;98,04;32,32;100,08;11;12;main;POLYGON ((100.08 31.14, 100.08 32.32, 98.04 32.32, 98.04 31.14, 100.08 31.14));True
343;343;31,14;100,08;32,32;102,12;11;13;main;POLYGON ((102.12 31.14, 102.12 32.32, 100.08 32.32, 100.08 31.14, 102.12 31.14));True
344;344;31,14;102,12;32,32;104,16;11;14;main;POLYGON ((104.16 31.14, 104.16 32.32, 102.12 32.32, 102.12 31.14, 104.16 31.14));True
345;345;31,14;104,16;32,32;106,2;11;15;main;POLYGON ((106.2 31.14, 106.2 32.32, 104.16 32.32, 104.16 31.14, 106.2 31.14));True
346;346;31,14;106,2;32,32;108,24;11;16;main;POLYGON ((108.24 31.14, 108.24 32.32, 106.2 32.32, 106.2 31.14, 108.24 31.14));True
347;347;31,14;108,24;32,32;110,28;11;17;main;POLYGON ((110.28 31.14, 110.28 32.32, 108.24 32.32, 108.24 31.14, 110.28 31.14));True
348;348;31,14;110,28;32,32;112,32;11;18;main;POLYGON ((112.32 31.14, 112.32 32.32, 110.28 32.32, 110.28 31.14, 112.32 31.14));True
349;349;31,14;112,32;32,32;114,36;11;19;main;POLYGON ((114.36 31.14, 114.36 32.32, 112.32 32.32, 112.32 31.14, 114.36 31.14));True
350;350;31,14;114,36;32,32;116,4;11;20;main;POLYGON ((116.4 31.14, 116.4 32.32, 114.36 32.32, 114.36 31.14, 116.4 31.14));True
351;351;31,14;116,4;32,32;118,44;11;21;main;POLYGON ((118.44 31.14, 118.44 32.32, 116.4 32.32, 116.4 31.14, 118.44 31.14));True
352;352;31,14;118,44;32,32;120,48;11;22;main;POLYGON ((120.48 31.14, 120.48 32.32, 118.44 32.32, 118.44 31.14, 120.48 31.14));True
353;353;31,14;120,48;32,32;122,52;11;23;main;POLYGON ((122.52 31.14, 122.52 32.32, 120.48 32.32, 120.48 31.14, 122.52 31.14));True
362;362;32,32;77,64;33,5;79,68;12;2;main;POLYGON ((79.68 32.32, 79.68 33.5, 77.64 33.5, 77.64 32.32, 79.68 32.32));True
363;363;32,32;79,68;33,5;81,72;12;3;main;POLYGON ((81.72 32.32, 81.72 33.5, 79.68 33.5, 79.68 32.32, 81.72 32.32));True
364;364;32,32;81,72;33,5;83,76;12;4;main;POLYGON ((83.76 32.32, 83.76 33.5, 81.72 33.5, 81.72 32.32, 83.76 32.32));True
365;365;32,32;83,76;33,5;85,8;12;5;main;POLYGON ((85.8 32.32, 85.8 33.5, 83.76 33.5, 83.76 32.32, 85.8 32.32));True
366;366;32,32;85,8;33,5;87,84;12;6;main;POLYGON ((87.84 32.32, 87.84 33.5, 85.8 33.5, 85.8 32.32, 87.84 32.32));True
367;367;32,32;87,84;33,5;89,88;12;7;main;POLYGON ((89.88 32.32, 89.88 33.5, 87.84 33.5, 87.84 32.32, 89.88 32.32));True
368;368;32,32;89,88;33,5;91,92;12;8;main;POLYGON ((91.92 32.32, 91.92 33.5, 89.88 33.5, 89.88 32.32, 91.92 32.32));True
369;369;32,32;91,92;33,5;93,96;12;9;main;POLYGON ((93.96 32.32, 93.96 33.5, 91.92 33.5, 91.92 32.32, 93.96 32.32));True
370;370;32,32;93,96;33,5;96,0;12;10;main;POLYGON ((96 32.32, 96 33.5, 93.96 33.5, 93.96 32.32, 96 32.32));True
371;371;32,32;96,0;33,5;98,04;12;11;main;POLYGON ((98.04 32.32, 98.04 33.5, 96 33.5, 96 32.32, 98.04 32.32));True
372;372;32,32;98,04;33,5;100,08;12;12;main;POLYGON ((100.08 32.32, 100.08 33.5, 98.04 33.5, 98.04 32.32, 100.08 32.32));True
373;373;32,32;100,08;33,5;102,12;12;13;main;POLYGON ((102.12 32.32, 102.12 33.5, 100.08 33.5, 100.08 32.32, 102.12 32.32));True
374;374;32,32;102,12;33,5;104,16;12;14;main;POLYGON ((104.16 32.32, 104.16 33.5, 102.12 33.5, 102.12 32.32, 104.16 32.32));True
375;375;32,32;104,16;33,5;106,2;12;15;main;POLYGON ((106.2 32.32, 106.2 33.5, 104.16 33.5, 104.16 32.32, 106.2 32.32));True
376;376;32,32;106,2;33,5;108,24;12;16;main;POLYGON ((108.24 32.32, 108.24 33.5, 106.2 33.5, 106.2 32.32, 108.24 32.32));True
377;377;32,32;108,24;33,5;110,28;12;17;main;POLYGON ((110.28 32.32, 110.28 33.5, 108.24 33.5, 108.24 32.32, 110.28 32.32));True
378;378;32,32;110,28;33,5;112,32;12;18;main;POLYGON ((112.32 32.32, 112.32 33.5, 110.28 33.5, 110.28 32.32, 112.32 32.32));True
379;379;32,32;112,32;33,5;114,36;12;19;main;POLYGON ((114.36 32.32, 114.36 33.5, 112.32 33.5, 112.32 32.32, 114.36 32.32));True
380;380;32,32;114,36;33,5;116,4;12;20;main;POLYGON ((116.4 32.32, 116.4 33.5, 114.36 33.5, 114.36 32.32, 116.4 32.32));True
381;381;32,32;116,4;33,5;118,44;12;21;main;POLYGON ((118.44 32.32, 118.44 33.5, 116.4 33.5, 116.4 32.32, 118.44 32.32));True
382;382;32,32;118,44;33,5;120,48;12;22;main;POLYGON ((120.48 32.32, 120.48 33.5, 118.44 33.5, 118.44 32.32, 120.48 32.32));True
